 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,6.000,278.000
2,0,255,255,255,55.500,281.500
3,0,0,0,0,94.500,250.500
4,0,255,255,255,164.500,226.500
5,0,255,255,255,228.500,208.500
6,0,0,0,0,281.500,115.500
7,0,255,255,255,326.500,206.500
8,0,255,255,255,407.500,207.500
9,0,0,0,0,466.500,106.500
10,0,0,0,0,519.500,220.500
11,0,0,0,0,559.500,232.500
12,0,255,255,255,593.500,239.500
13,0,0,0,0,626.500,240.500
14,0,255,255,255,648.500,247.500
15,0,255,255,255,352.500,353.500
16,0,255,255,255,353.500,689.500
17,0,0,0,0,354.500,1119.500
18,0,0,0,0,352.500,1457.500
19,0,255,255,255,343.500,1816.500
20,0,255,255,255,340.500,2117.500
21,0,255,255,255,353.500,2376.500
22,0,255,255,255,411.500,2756.500
